team_class,game_pk,game_date,time,place,team_1_name,team_1_score,team_2_name,team_2_score
41,22485,2020-08-04,09:00,구의 야구공원,서울대,1,동국대,12
41,22488,2020-08-05,09:00,구의 야구공원,서울문화예술대,1,동국대,8
41,22415,2020-08-07,11:30,구의 야구공원,한양대,6,동국대,10
41,23228,2020-09-22,09:00,군산월명야구장,사이버한국외대,2,동국대,7
41,23243,2020-09-24,14:00,군산월명야구장,동국대,1,원광대,4
41,22354,2020-07-02,14:00,진해공설운동장 야구장(진해야구장),동아대,3,영남대,3
41,22355,2020-07-08,09:00,진해공설운동장 야구장(진해야구장),동의대,9,동아대,4
41,22460,2020-07-30,14:00,진해공설운동장 야구장(진해야구장),영남대,3,동아대,5
41,22461,2020-07-31,09:00,진해공설운동장 야구장(진해야구장),동아대,7,동의대,9
41,23346,2020-10-28,16:30,횡성 베이스볼 테마파크 제1구장,성균관대,4,동아대,1
41,22349,2020-07-01,09:00,진해공설운동장 야구장(진해야구장),영남대,1,동의대,6
41,22399,2020-07-18,11:30,보은스포츠파크 야구장,여주대,3,동의대,13
41,22408,2020-07-21,14:00,보은스포츠파크 야구장,동의대,2,인하대,9
41,22425,2020-07-29,09:00,진해공설운동장 야구장(진해야구장),동의대,10,영남대,3
41,23229,2020-09-22,11:30,군산월명야구장,유원대,4,동의대,19
41,23245,2020-09-24,09:00,군산월명야구장,중앙대,4,동의대,3
41,23284,2020-10-26,11:30,횡성 베이스볼 테마파크 제1구장,동의대,0,송원대,0
41,23354,2020-10-29,13:00,횡성 베이스볼 테마파크 제1구장,중앙대,3,동의대,11
41,23361,2020-10-31,10:00,횡성 베이스볼 테마파크 제1구장,한양대,8,동의대,4
41,22376,2020-07-01,11:30,보은스포츠파크 야구장,세경대,10,사이버한국외대,2
41,22378,2020-07-02,09:00,보은스포츠파크 야구장,사이버한국외대,8,한국골프대,2
41,22384,2020-07-09,11:30,보은스포츠파크 야구장,수성대,3,사이버한국외대,16
41,22523,2020-08-04,11:30,군산월명야구장,사이버한국외대,8,수성대,0
41,22527,2020-08-05,14:00,군산월명야구장,유원대,1,사이버한국외대,0
41,22429,2020-08-12,11:30,대구시민운동장 야구장,사이버한국외대,7,세경대,0
41,22431,2020-08-13,09:00,대구시민운동장 야구장,한국골프대,10,사이버한국외대,5
41,22532,2020-08-17,14:00,천안 독립야구장,사이버한국외대,10,유원대,2
41,23295,2020-10-27,09:00,횡성 베이스볼 테마파크 제2구장,수성대,10,사이버한국외대,8
41,22313,2020-07-02,14:00,구의 야구공원,서울대,3,서울문화예술대,14
41,22314,2020-07-08,09:00,고려대학교 송추야구장,연세대,17,서울대,5
41,22386,2020-07-15,09:30,보은스포츠파크 야구장,유원대,14,서울대,2
41,22439,2020-07-30,14:00,구의 야구공원,서울문화예술대,18,서울대,5
41,22440,2020-07-31,09:00,구의 야구공원,서울대,0,연세대,19
41,22490,2020-08-05,14:00,구의 야구공원,서울대,0,한양대,21
41,22958,2020-09-11,14:00,고려대학교 송추야구장,한양대,9,서울대,0
41,22308,2020-07-01,09:00,구의 야구공원,서울문화예술대,1,연세대,8
41,22315,2020-07-08,11:30,고려대학교 송추야구장,서울문화예술대,8,한양대,1
41,22407,2020-07-21,11:30,보은스포츠파크 야구장,연세대,16,서울문화예술대,7
41,22441,2020-07-31,11:30,구의 야구공원,한양대,3,서울문화예술대,3
41,22414,2020-08-07,09:00,구의 야구공원,연세대,5,서울문화예술대,4
41,23345,2020-10-28,14:00,횡성 베이스볼 테마파크 제1구장,서울문화예술대,0,홍익대,7
41,22321,2020-07-01,09:00,천안 독립야구장,성균관대,0,인하대,0
41,22327,2020-07-08,11:30,천안 독립야구장,성균관대,6,홍익대,3
41,22409,2020-07-21,17:00,보은스포츠파크 야구장,성균관대,7,제주관광대,0
41,22419,2020-08-10,09:00,천안 독립야구장,인하대,3,성균관대,1
41,22447,2020-08-12,11:30,천안 독립야구장,홍익대,6,성균관대,0
41,22639,2020-08-17,14:00,보은스포츠파크 야구장,영남대,4,성균관대,5
41,22655,2020-08-18,09:00,보은스포츠파크 야구장,성균관대,5,인하대,4
41,23291,2020-10-27,09:00,횡성 베이스볼 테마파크 제1구장,성균관대,10,한국골프대,3
41,23359,2020-10-31,13:00,횡성 베이스볼 테마파크 제1구장,한일장신대,7,성균관대,4
41,22379,2020-07-02,11:30,보은스포츠파크 야구장,수성대,4,세경대,11
41,22382,2020-07-08,14:00,보은스포츠파크 야구장,세경대,2,한국골프대,11
41,22383,2020-07-09,09:00,보은스포츠파크 야구장,세경대,10,유원대,7
